EmployeeID,Attrition,Attrition_Flag,Age,MaritalStatus,DistanceFromHome,JobRole,OverTime,MonthlyIncome,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsSinceLastPromotion
EMP112,No,0,26,Divorced,23,Research Scientist,No,2886,2,4,1,1,4,3,1,3,0
EMP113,Yes,1,26,Married,2,Research Scientist,Yes,2042,1,1,1,3,3,6,6,3,1
EMP114,No,0,42,Single,23,Research Scientist,No,4332,0,3,4,3,3,20,1,20,3
EMP115,No,0,46,Married,1,Healthcare Representative,Yes,10673,1,1,3,2,3,21,2,10,9
EMP116,No,0,34,Divorced,19,Laboratory Technician,No,4444,2,2,3,4,3,15,4,11,5
EMP117,No,0,33,Married,28,Laboratory Technician,Yes,5207,1,3,2,3,3,15,1,15,5
EMP118,No,0,29,Divorced,1,Research Director,No,16124,2,4,4,2,3,9,3,7,1
EMP119,No,0,45,Divorced,4,Sales Executive,Yes,5006,1,1,3,4,3,9,4,5,0
EMP120,No,0,35,Married,1,Laboratory Technician,No,5363,1,4,4,3,3,10,0,9,0
EMP121,No,0,52,Married,11,Laboratory Technician,No,3149,1,3,4,3,4,9,8,5,1
EMP122,No,0,55,Married,26,Manager,Yes,19636,1,2,3,3,3,35,4,10,1
EMP123,No,0,33,Divorced,4,Research Scientist,No,3055,2,2,4,2,3,11,5,9,1
EMP124,No,0,34,Married,10,Healthcare Representative,No,5063,1,3,4,2,3,8,1,8,7
EMP125,No,0,35,Married,9,Manufacturing Director,Yes,10685,1,3,4,3,4,17,1,17,5
EMP126,No,0,35,Married,18,Healthcare Representative,Yes,5689,2,3,3,4,3,10,1,10,0
EMP127,Yes,1,51,Single,8,Manufacturing Director,No,10650,0,4,1,3,3,18,2,4,0
EMP128,No,0,38,Married,25,Research Director,No,12061,1,2,1,3,3,19,3,10,0
EMP129,No,0,52,Single,2,Manager,Yes,19068,0,3,1,4,3,33,1,33,15
EMP130,No,0,32,Single,2,Laboratory Technician,No,2176,0,1,4,3,3,9,4,6,0
EMP131,Yes,1,30,Married,22,Research Scientist,Yes,2132,0,3,1,3,3,7,4,5,0
EMP132,No,0,40,Married,2,Healthcare Representative,No,4244,1,2,3,3,4,8,1,8,3
EMP133,No,0,44,Married,28,Sales Executive,Yes,13320,1,4,4,3,3,23,3,12,11
EMP134,No,0,42,Married,2,Manager,Yes,17861,0,3,3,2,3,21,0,20,2
EMP135,No,0,39,Married,9,Manufacturing Director,No,5151,1,1,1,3,4,10,1,10,7
EMP136,No,0,37,Married,3,Manufacturing Director,No,9434,1,3,3,3,3,10,1,10,7
EMP137,No,0,50,Divorced,7,Research Director,Yes,18740,1,3,2,2,3,29,5,27,13
EMP138,No,0,34,Divorced,2,Research Scientist,No,2768,1,3,4,3,3,14,3,7,5
EMP139,No,0,35,Single,10,Healthcare Representative,Yes,6142,0,3,1,3,3,10,3,5,0
EMP140,No,0,28,Single,8,Research Scientist,No,3310,0,4,4,3,4,5,1,5,0
EMP141,Yes,1,38,Married,29,Healthcare Representative,Yes,6673,0,1,2,3,3,17,7,1,0
EMP142,Yes,1,29,Single,1,Research Scientist,No,2362,0,1,1,1,3,11,6,9,0
EMP143,Yes,1,33,Single,16,Sales Executive,Yes,8564,0,1,1,2,4,11,2,0,0
EMP144,No,0,33,Single,13,Research Scientist,No,3452,0,4,2,3,3,5,3,3,0
EMP145,No,0,38,Married,4,Laboratory Technician,No,3306,1,3,4,2,3,7,7,0,0
EMP146,No,0,32,Married,9,Research Scientist,Yes,6322,1,4,1,2,3,6,1,6,0
EMP147,No,0,36,Married,7,Sales Executive,No,4639,1,1,1,2,3,17,2,15,6
EMP148,No,0,30,Single,12,Sales Executive,No,6577,0,3,2,3,3,6,0,5,4
EMP149,No,0,36,Single,7,Laboratory Technician,No,2013,0,2,1,3,3,15,2,4,1
EMP150,No,0,43,Single,28,Research Scientist,No,4739,0,3,2,3,3,18,4,3,1
EMP151,Yes,1,40,Single,24,Sales Executive,Yes,13194,0,2,2,2,3,22,4,1,0
EMP152,Yes,1,40,Single,7,Laboratory Technician,Yes,2166,0,1,1,1,3,10,3,4,0
EMP153,No,0,31,Single,1,Research Scientist,No,2501,0,2,3,3,3,1,1,1,1
EMP154,No,0,37,Married,9,Research Scientist,Yes,2326,3,4,2,2,3,4,1,4,1
EMP155,No,0,35,Married,8,Healthcare Representative,No,4148,1,3,3,3,3,15,1,14,2
EMP156,No,0,27,Married,16,Laboratory Technician,No,2811,1,2,3,3,3,4,9,2,2
EMP157,Yes,1,21,Single,10,Laboratory Technician,No,1416,0,1,3,2,3,1,1,1,1
EMP158,No,0,34,Married,3,Research Scientist,No,2979,3,4,3,3,3,6,3,0,0
EMP159,No,0,51,Single,21,Sales Executive,Yes,5441,0,4,3,1,4,11,0,10,1
EMP160,No,0,32,Single,5,Research Scientist,No,2718,0,2,2,3,3,12,2,7,0
EMP161,Yes,1,30,Single,9,Sales Representative,No,1081,0,4,2,2,3,1,1,1,0
EMP162,No,0,58,Married,21,Manager,Yes,17875,1,4,4,2,3,29,4,1,0
EMP163,No,0,29,Married,2,Sales Executive,No,4649,1,3,4,2,3,4,1,4,0
EMP164,Yes,1,40,Married,22,Sales Executive,Yes,6380,2,3,3,3,3,8,2,6,1
EMP165,No,0,39,Married,6,Sales Executive,No,8237,1,3,4,3,3,11,2,7,7
EMP166,No,0,36,Married,10,Healthcare Representative,Yes,8321,1,1,4,3,3,15,7,12,5
EMP167,No,0,36,Divorced,8,Healthcare Representative,No,10096,3,3,3,3,3,17,1,17,12
EMP168,No,0,49,Single,10,Research Director,Yes,18665,0,1,3,3,3,22,9,3,1
EMP169,Yes,1,30,Married,12,Sales Representative,No,2033,1,1,2,4,3,1,1,1,0
EMP170,No,0,37,Divorced,9,Sales Executive,No,8834,1,2,1,3,3,9,1,9,7
EMP171,No,0,38,Divorced,15,Research Director,Yes,11510,1,4,3,3,3,12,0,11,2
EMP172,No,0,23,Married,10,Research Scientist,No,2073,1,3,4,3,3,4,2,2,2
EMP173,No,0,33,Divorced,7,Healthcare Representative,No,5968,3,3,4,3,4,9,1,9,2
EMP174,No,0,35,Married,23,Laboratory Technician,Yes,4014,1,1,3,3,3,4,3,2,2
EMP175,No,0,40,Married,10,Laboratory Technician,Yes,2213,1,3,4,3,3,10,3,7,1
EMP176,Yes,1,41,Married,12,Research Director,No,19545,0,3,2,3,3,23,1,22,15
EMP177,No,0,22,Divorced,5,Research Scientist,Yes,2328,1,2,4,2,3,4,1,4,2
EMP178,No,0,42,Divorced,2,Human Resources,Yes,2696,1,3,3,3,3,4,0,3,1
EMP179,No,0,38,Divorced,7,Sales Executive,Yes,5605,1,1,1,3,4,8,1,8,7
EMP180,Yes,1,32,Single,2,Sales Executive,Yes,9907,0,2,3,2,3,7,7,2,2
EMP181,No,0,42,Married,3,Laboratory Technician,Yes,5231,1,4,3,2,3,17,2,5,1
EMP182,No,0,45,Married,6,Research Director,Yes,13245,0,1,4,4,3,17,4,0,0
EMP183,No,0,45,Married,7,Manufacturing Director,No,6434,1,3,1,3,3,9,4,3,0
EMP184,No,0,33,Single,10,Sales Executive,No,4682,0,4,2,2,3,9,3,7,0
EMP185,No,0,32,Married,1,Sales Representative,No,2269,1,2,2,3,3,3,0,2,2
EMP186,No,0,41,Divorced,9,Laboratory Technician,No,2289,2,1,3,3,4,5,1,5,0
EMP187,No,0,34,Married,8,Sales Executive,No,6500,1,1,3,3,3,6,5,3,1
EMP188,No,0,27,Married,1,Manufacturing Director,No,4298,1,1,3,3,3,6,5,2,2
EMP189,No,0,36,Single,3,Sales Executive,Yes,9278,0,2,1,3,3,15,3,5,0
EMP190,No,0,48,Married,20,Research Scientist,No,2259,2,3,4,2,3,13,4,0,0
EMP191,No,0,59,Single,1,Sales Executive,No,5473,0,3,1,2,3,20,7,4,1
EMP192,Yes,1,30,Married,1,Sales Executive,No,9714,1,1,2,3,3,10,1,10,6
EMP193,No,0,39,Single,4,Manufacturing Director,No,5042,0,3,1,1,3,10,0,9,3
EMP194,Yes,1,31,Married,16,Sales Executive,No,8161,3,3,1,3,3,10,2,1,0
EMP195,No,0,31,Single,7,Manufacturing Director,Yes,7143,0,4,3,2,3,11,1,11,4
EMP196,No,0,26,Divorced,1,Research Scientist,No,2007,2,3,1,3,3,5,1,5,1
EMP197,No,0,27,Married,1,Manufacturing Director,No,7412,0,1,3,3,3,9,1,9,0
EMP198,No,0,31,Married,7,Manufacturing Director,No,8943,1,3,3,3,4,10,1,10,8
EMP199,Yes,1,39,Divorced,2,Healthcare Representative,No,12169,3,4,1,3,3,21,7,18,11
EMP200,No,0,40,Single,14,Research Director,No,19626,0,3,3,4,3,21,1,20,4
